University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"National Autonomous University of Mexico",http://dbpedia.org/resource/National_Autonomous_University_of_Mexico,,,151-200,487,,
"National Central University",http://dbpedia.org/resource/National_Central_University,351-400,"401-410 ",401-500,441,399,143
"National Chengchi University ",http://dbpedia.org/resource/National_Chengchi_University,,"601-650 ",,,,321
"National Cheng Kung University",http://dbpedia.org/resource/National_Cheng_Kung_University,301-350,"247 ",301-400,417,204,176
"National Chiao Tung University",http://dbpedia.org/resource/National_Chiao_Tung_University,251-275,"230 ",301-400,307,303,157
"Instituto Politécnico Nacional (IPN) ",http://dbpedia.org/resource/National_Polytechnic_Institute,,"551-600 ",,,500,
"National Taiwan Normal University ",http://dbpedia.org/resource/National_Taiwan_Normal_University,,"481-490 ",,,,403
" National Taiwan University ",http://dbpedia.org/resource/National_Taiwan_University,351-400,"82 ",101-150,377,63,35
"National Technical University of Athens ",http://dbpedia.org/resource/National_Technical_University_of_Athens,,"501-550 ",,393,,317
"National Tsing Hua University",http://dbpedia.org/resource/National_Tsing_Hua_University,251-275,"199 ",201-300,349,292,226
"National Sun Yat Sen University",http://dbpedia.org/resource/National_university,,,,,,323
"Universidad Nacional de Córdoba ",http://dbpedia.org/resource/National_University_of_Córdoba,,"501-550 ",,,,496
"Universidad Nacional de Colombia ",http://dbpedia.org/resource/National_University_of_Colombia,,"325 ",,,,399
" National University of Ireland, Galway ","http://dbpedia.org/resource/National_University_of_Ireland,_Galway",301-350,"284 ",,,,
" National University of Ireland, Maynooth ","http://dbpedia.org/resource/National_University_of_Ireland,_Maynooth",351-400,"551-600 ",,,,
"Universidad Nacional de La Plata ",http://dbpedia.org/resource/National_University_of_La_Plata,,"421-430 ",,493,,451
" National University of Singapore (NUS) ",http://dbpedia.org/resource/National_University_of_Singapore,26,"24 ",101-150,73,41,108
" Newcastle University ",http://dbpedia.org/resource/Newcastle_University,198,"129 ",201-300,133,,230
"New Jersey Institute of Technology (NJIT) ",http://dbpedia.org/resource/New_Jersey_Institute_of_Technology,,"551-600 ",,,,
" New York University (NYU) ",http://dbpedia.org/resource/New_York_University,40,"44 ",27,28,55,24
"Nihon University",http://dbpedia.org/resource/Nihon_University,,,,498,,
"Northeastern University China",http://dbpedia.org/resource/Northeastern_University,,,,,464,
"Northern Illinois University",http://dbpedia.org/resource/Northern_Illinois_University,,,,,,392
" Northwestern University ",http://dbpedia.org/resource/Northwestern_University,22,"29 ",30,17,28,57
"North Carolina State University - Raleigh",http://dbpedia.org/resource/North_Carolina_State_University,,"304 ",151-200,198,181,69
"Norwegian University of Science and Technology",http://dbpedia.org/resource/Norwegian_University_of_Science_and_Technology,251-275,"251 ",201-300,287,,
" Ohio State University ",http://dbpedia.org/resource/Ohio_State_University,59,"113 ",65,113,34,42
"Oklahoma State University  ",http://dbpedia.org/resource/Oklahoma_State_University–Stillwater,,"601-650 ",,363,463,319
" Old Dominion University ",http://dbpedia.org/resource/Old_Dominion_University,351-400,,,,,
"The Open University",http://dbpedia.org/resource/Open_University,,,401-500,,,112
"Oregon Health and Science University",http://dbpedia.org/resource/Oregon_Health_&_Science_University,,,151-200,66,177,441
"Oregon State University",http://dbpedia.org/resource/Oregon_State_University,301-350,"401-410 ",101-150,142,270,97
" Osaka University ",http://dbpedia.org/resource/Osaka_University,144,"55 ",85,387,54,243
"Oxford Brookes University ",http://dbpedia.org/resource/Oxford_Brookes_University,,"374 ",,,,
" Panjab University ","http://dbpedia.org/resource/Panjab_University,_Chandigarh",226-250,,,,,
"Université Paris-Sorbonne (Paris IV) ",http://dbpedia.org/resource/Paris-Sorbonne_University,,"216 ",,,,
" Peking University ",http://dbpedia.org/resource/Peking_University,45,"46 ",151-200,216,51,37
" Pennsylvania State University ",http://dbpedia.org/resource/Pennsylvania_State_University,49,"107 ",,112,50,13
" Universit&eacute; Pierre et Marie Curie ",http://dbpedia.org/resource/Pierre_and_Marie_Curie_University,96,,37,,,
" Polytechnic University of Milan ",http://dbpedia.org/resource/Politecnico_di_Milano,276-300,"230 ",,322,385,245
"Catholic University of Chile",http://dbpedia.org/resource/Pontifical_Catholic_University_of_Chile,,"166 ",401-500,437,371,
"Pontificia Universidad Católica del Perú ",http://dbpedia.org/resource/Pontificia_Universidad_Católica_del_Perú,,"551-600 ",,,,
"Portland State University",http://dbpedia.org/resource/Portland_State_University,,,,,,368
" Princeton University ",http://dbpedia.org/resource/Princeton_University,6,"10 ",7,4,86,27
" Purdue University ",http://dbpedia.org/resource/Purdue_University,62,"99 ",,,100,19
"Pusan National University",http://dbpedia.org/resource/Pusan_National_University,,"451-460 ",401-500,465,328,
" Queensland University of Technology ",http://dbpedia.org/resource/Queensland_University_of_Technology,276-300,"279 ",,311,452,335
" Queen Mary University of London ","http://dbpedia.org/resource/Queen_Mary,_University_of_London",114,"115 ",,97,336,394
" Radboud University Nijmegen ",http://dbpedia.org/resource/Radboud_University_Nijmegen,131,"143 ",101-150,114,84,268
" Renmin University of China ",http://dbpedia.org/resource/Renmin_University_of_China,226-250,"461-470 ",,,,345
" Rensselaer Polytechnic Institute ",http://dbpedia.org/resource/Rensselaer_Polytechnic_Institute,181,"353 ",201-300,,,226
"Rhodes University  ",http://dbpedia.org/resource/Rhodes_University,,"551-600 ",,,,
" Rice University ",http://dbpedia.org/resource/Rice_University,65,"136 ",92,6,252,132
"RMIT University ",http://dbpedia.org/resource/RMIT_University,,"291 ",,,,424
"Rochester Institute of Technology",http://dbpedia.org/resource/Rochester_Institute_of_Technology,,,,,,365
"Rockefeller University",http://dbpedia.org/resource/Rockefeller_University,,,34,,290,
" Royal Holloway, University of London ","http://dbpedia.org/resource/Royal_Holloway,_University_of_London",102,"265 ",,,,
" KTH Royal Institute of Technology ",http://dbpedia.org/resource/Royal_Institute_of_Technology,117,"118 ",201-300,267,251,196
"University of Bochum",http://dbpedia.org/resource/Ruhr_University_Bochum,,"366 ",301-400,327,,
" Rutgers, The State University of New Jersey ",http://dbpedia.org/resource/Rutgers_University,103,"551-600 ",61,,106,140
" RWTH Aachen University ",http://dbpedia.org/resource/RWTH_Aachen_University,129,"147 ",201-300,220,183,141
"Universität des Saarlandes ",http://dbpedia.org/resource/Saarland_University,,"421-430 ",,340,396,372
"Saint Louis University",http://dbpedia.org/resource/Saint_Louis_University,,,301-400,,,447
"Saint Petersburg State University",http://dbpedia.org/resource/Saint_Petersburg_State_University,,"240 ",301-400,491,,492
"San Diego State University",http://dbpedia.org/resource/San_Diego_State_University,351-400,,301-400,,,390
" Sapienza University of Rome ",http://dbpedia.org/resource/Sapienza_University_of_Rome,301-350,"196 ",,419,,
"SOAS - School of Oriental and African Studies, University of London  ",http://dbpedia.org/resource/School_of_Oriental_and_African_Studies,,"337 ",,,,
"Scuola Normale Superiore - Pisa",http://dbpedia.org/resource/Scuola_Normale_Superiore_di_Pisa,,,201-300,,,
" Seoul National University ",http://dbpedia.org/resource/Seoul_National_University,44,"35 ",101-150,371,36,34
"Shandong University",http://dbpedia.org/resource/Shandong_University,,,301-400,355,162,185
"Shanghai Jiao Tong University",http://dbpedia.org/resource/Shanghai_Jiao_Tong_University,301-350,"123 ",151-200,389,68,68
"Shanghai University ",http://dbpedia.org/resource/Shanghai_University,,"451-460 ",,345,456,310
" Sharif University of Technology ",http://dbpedia.org/resource/Sharif_University_of_Technology,251-275,"601-650 ",,370,462,
"Sichuan University",http://dbpedia.org/resource/Sichuan_University,,,301-400,438,164,276
"Simon Fraser University",http://dbpedia.org/resource/Simon_Fraser_University,226-250,"244 ",201-300,232,278,76
"Smith College ",http://dbpedia.org/resource/Smith_College,,"601-650 ",,,,
"Southeast University",http://dbpedia.org/resource/Southeast_University,,"501-550 ",401-500,238,295,360
"Southern Illinois University",http://dbpedia.org/resource/Southern_Illinois_University,,,,,,480
"Southern Methodist University",http://dbpedia.org/resource/Southern_Methodist_University,,,401-500,,,
" Stanford University ",http://dbpedia.org/resource/Stanford_University,4,"7 ",2,3,4,3
" Stellenbosch University ",http://dbpedia.org/resource/Stellenbosch_University,301-350,"387 ",,395,411,439
